ACC_X,ACC_Y,ACC_Z,PPG
27788,31748,33556,13121
27480,31412,33756,13126
26256,31264,34028,13133
24796,30868,34416,13132
23428,30596,34516,13131
21996,30544,34736,13129
19912,29856,35212,13122
22256,30580,35384,13112
23480,30324,35828,13114
23364,30228,34820,13122
23084,30020,34600,13120
24124,29668,34452,13108
25680,29620,34360,13106
26252,29568,34340,13108
26104,29724,34372,13111
26012,29944,34536,13118
26180,29992,34644,13123
26220,29984,34848,13127
25116,29796,35192,13125
23684,30188,35992,13127
22876,30668,35848,13118
21980,30300,36096,13112
21556,30308,36412,13106
23672,31156,35524,13100
23644,31144,35304,13100
22644,30800,35204,13099
22364,30700,34668,13100
23976,30956,34212,13094
25592,31328,33884,13083
26404,31412,33708,13060
26772,31436,33556,13041
26856,31588,33484,13026
27164,31480,33436,13016
26824,31244,33700,13007
25296,30984,34016,13003
24004,30748,34168,12996
22496,30556,34488,12983
21540,30484,34576,12969
21244,30180,34756,12954
24012,30224,35108,12939
23876,30220,35708,12937
23752,30556,34640,12946
23876,30312,34852,12948
24928,29856,34716,12957
25908,29724,34460,12969
26308,29840,34728,12980
26136,30028,34680,12985
25848,30116,34960,12984
26140,30172,34980,12969
25888,30088,35268,12950
24724,29972,35656,12933
23480,30324,35784,12919
21820,30364,36152,12905
21116,30532,36140,12890
23164,31104,35612,12879
23324,30576,35328,12869
21932,31000,35220,12862
22584,31012,34604,12851
24244,31164,34252,12842
24836,31080,34168,12834
24988,31164,33884,12831
25788,31260,33812,12825
27020,31516,33580,12826
27836,31528,33640,12828
28016,31436,33780,12833
27044,31164,33964,12839
25512,30800,34248,12832
24016,30608,34592,12811
21788,30356,34752,12782
19672,30232,34792,12756
22100,30264,34836,12727
23856,29988,35208,12717
22476,29652,34976,12719
22752,29904,34332,12721
23952,29608,34744,12726
25676,29448,34536,12736
26712,29492,34508,12743
26684,29832,34528,12753
26104,30116,34796,12762
25936,30128,34944,12767
25892,30032,35084,12772
24912,29868,35604,12772
23492,30052,36012,12770
22276,30368,36328,12765
21868,30688,36324,12752
22220,30356,36132,12725
24092,31016,35544,12689
24020,30960,35044,12664
25428,27580,30624,12657
22072,28088,35868,12633
23844,31064,34124,12616
25644,31116,33648,12599
